3,2,114,1695000,2983 Bergamo Way Sacramento CA 95833
3,3,138,549900,5013 Conrad Ave San Diego CA 92117
3,2,176,469000,207 Mission Oak Ct Folsom CA 95630
2,2,164,650000,17803 Mana Rd Apple Valley CA 92307
3,2,190,749900,3605 Anthea St Sacramento CA 95834
6,3,258,350000,1311 School St Folsom CA 95630
3,2,134,415000,17232 Micallef Ct Fontana CA 92336
2,2,187,450000,857 Princeton Ct Woodland CA 95695
3,2,148,479000,9636 Sea Cliff Way Elk Grove CA 95758
4,2,157,399950,2983 Bergamo Way Sacramento CA 95833
2,2,138,324000,5013 Conrad Ave San Diego CA 92117
4,2,139,210000,207 Mission Oak Ct Folsom CA 95630
3,2,157,1199995,17803 Mana Rd Apple Valley CA 92307
3,3,249,789000,3605 Anthea St Sacramento CA 95834
",",0,,201000,1311 School St Folsom CA 95630
1,d,",50",99999,17232 Micallef Ct Fontana CA 92336
2,1,100,998000,857 Princeton Ct Woodland CA 95695
3,2,137,620000,9636 Sea Cliff Way Elk Grove CA 95758
2,2,184,359000,2983 Bergamo Way Sacramento CA 95833
3,2,181,418000,5013 Conrad Ave San Diego CA 92117
3,3,190,1495000,207 Mission Oak Ct Folsom CA 95630
3,3,156,550000,17803 Mana Rd Apple Valley CA 92307
3,2,114,899900,3605 Anthea St Sacramento CA 95834
3,3,116,599999,1311 School St Folsom CA 95630
2,1,111,749000,17232 Micallef Ct Fontana CA 92336
5,2,208,599999,857 Princeton Ct Woodland CA 95695
3,3,241,798500,9636 Sea Cliff Way Elk Grove CA 95758
3,2,188,549000,2983 Bergamo Way Sacramento CA 95833
7,9,1480,35000000,5013 Conrad Ave San Diego CA 92117
3,2,160,729000,207 Mission Oak Ct Folsom CA 95630
4,3,175,499999,17803 Mana Rd Apple Valley CA 92307
4,2,143,699500,3605 Anthea St Sacramento CA 95834
3,2,105,699000,1311 School St Folsom CA 95630
2,2,129,160000,3835 Moonbeam Dr Sacramento CA 95827
3,2,115,249900,8205 Sunbonnet Dr Fair Oaks CA 95628
4,3,189,400000,8728 W Morning Glory Way Elk Grove CA 95624
4,2,179,1550000,305 Falabella Fallbrook CA 92028
3,2,140,759000,9163 Firelight Way Sacramento CA 95826
2,2,145,899000,2318 Nucla Way Sacramento CA 95834
3,2,214,489000,3557 Forney Way Sacramento CA 95816
3,2,132,100000,1169 Chelsham Ave Galt CA 95632
3,2,121,269000,2229 Rossmoor Dr Rancho Cordova CA 95670
2,2,147,245000,3835 Moonbeam Dr Sacramento CA 95827
3,2,172,1128000,8205 Sunbonnet Dr Fair Oaks CA 95628
3,2,109,189999,8728 W Morning Glory Way Elk Grove CA 95624
3,3,147,685000,305 Falabella Fallbrook CA 92028
3,3,222,1199000,9163 Firelight Way Sacramento CA 95826
3,2,116,610000,2318 Nucla Way Sacramento CA 95834
4,3,208,459000,3557 Forney Way Sacramento CA 95816
4,2,116,495000,1169 Chelsham Ave Galt CA 95632
3,3,237,384900,2229 Rossmoor Dr Rancho Cordova CA 95670
