50,50,569900,18806700,3,4,2424,56.358,House for sale,160 Mohican Dr Pell City AL 35128,https://www.zillow.com/homedetails/160-Mohican-Dr-Pell-City-AL-35128/172504_zpid/
51,51,259900,8576700,4,2,2236,51.987,House for sale,11396 Friend Rd Athens AL 35611,https://www.zillow.com/homedetails/11396-Friend-Rd-Athens-AL-35611/128478137_zpid/
52,52,290000,9570000,3,2,1822,42.3615,House for sale,9247 Huckleberry Dr Spanish Fort AL 36527,https://www.zillow.com/homedetails/9247-Huckleberry-Dr-Spanish-Fort-AL-36527/72727190_zpid/
53,53,262500,8662500,3,2,1516,35.247,House for sale,3105 Willow Beach Rd Guntersville AL 35976,https://www.zillow.com/homedetails/3105-Willow-Beach-Rd-Guntersville-AL-35976/145375_zpid/
54,54,279000,9207000,3,2,1800,41.85,House for sale,2076 Bakers Chapel Rd Guntersville AL 35976,https://www.zillow.com/homedetails/2076-Bakers-Chapel-Rd-Guntersville-AL-35976/87619386_zpid/
55,55,249900,8246700,3,2,1320,30.69,Townhouse for sale,389 Clubhouse Dr APT EE1 Gulf Shores AL 36542,https://www.zillow.com/homedetails/389-Clubhouse-Dr-APT-EE1-Gulf-Shores-AL-36542/2065579400_zpid/
56,56,149900,4946700,4,2,2291,53.26575,House for sale,718 5th Ave SE Decatur AL 35601,https://www.zillow.com/homedetails/718-5th-Ave-SE-Decatur-AL-35601/109609846_zpid/
57,57,599900,19796700,4,3,1991,46.29075,Coming soon,912 Irving Rd Homewood AL 35209,https://www.zillow.com/homedetails/912-Irving-Rd-Homewood-AL-35209/1004366_zpid/
58,58,190000,6270000,3,2,1555,36.15375,House for sale,8408 6th Ave S Birmingham AL 35206,https://www.zillow.com/homedetails/8408-6th-Ave-S-Birmingham-AL-35206/949708_zpid/
59,59,350000,11550000,4,3,3600,83.7,House for sale,370 Catawba Ln Brewton AL 36426,https://www.zillow.com/homedetails/370-Catawba-Ln-Brewton-AL-36426/110292578_zpid/
60,60,394999,13034967,4,3,2305,53.59125,House for sale,287 Abercorn Dr Madison AL 35756,https://www.zillow.com/homedetails/287-Abercorn-Dr-Madison-AL-35756/245598368_zpid/
61,61,275000,9075000,3,2,1542,35.8515,House for sale,804 Minor St NE Huntsville AL 35801,https://www.zillow.com/homedetails/804-Minor-St-NE-Huntsville-AL-35801/92108952_zpid/
62,62,425000,14025000,3,4,2847,66.19275,House for sale,310 County Road 572 Rogersville AL 35652,https://www.zillow.com/homedetails/310-County-Road-572-Rogersville-AL-35652/67118884_zpid/
63,63,190000,6270000,4,3,1721,40.01325,House for sale,6 Ridgeview Dr Millbrook AL 36054,https://www.zillow.com/homedetails/6-Ridgeview-Dr-Millbrook-AL-36054/79779409_zpid/
64,64,319000,10527000,4,3,2742,63.7515,House for sale,200 Foxfire Dr Dothan AL 36301,https://www.zillow.com/homedetails/200-Foxfire-Dr-Dothan-AL-36301/76001785_zpid/
65,65,350000,11550000,5,3,2573,59.82225,House for sale,5345 S Broken Bow Dr Birmingham AL 35242,https://www.zillow.com/homedetails/5345-S-Broken-Bow-Dr-Birmingham-AL-35242/185769_zpid/
66,66,399000,13167000,3,3,1772,41.199,House for sale,23976 Cottage Loop Orange Beach AL 36561,https://www.zillow.com/homedetails/23976-Cottage-Loop-Orange-Beach-AL-36561/2086183651_zpid/
67,67,269900,8906700,3,2,1832,42.594,House for sale,295 Lillian Ln Anniston AL 36207,https://www.zillow.com/homedetails/295-Lillian-Ln-Anniston-AL-36207/109273177_zpid/
68,68,344900,11381700,4,3,2380,55.335,House for sale,1605 Oak Bowery Rd Opelika AL 36801,https://www.zillow.com/homedetails/1605-Oak-Bowery-Rd-Opelika-AL-36801/76042895_zpid/
69,69,259000,8547000,3,2,2072,48.174,House for sale,13208 Shaw Ln Coker AL 35452,https://www.zillow.com/homedetails/13208-Shaw-Ln-Coker-AL-35452/35740490_zpid/
70,70,234900,7751700,3,2,1694,39.3855,House for sale,1224 Sloane Cv Foley AL 36535,https://www.zillow.com/homedetails/1224-Sloane-Cv-Foley-AL-36535/196147680_zpid/
71,71,749000,24717000,5,4,3010,69.9825,House for sale,3769 N Woodridge Rd Mountain Brook AL 35223,https://www.zillow.com/homedetails/3769-N-Woodridge-Rd-Mountain-Brook-AL-35223/979961_zpid/
72,72,180000,5940000,5,3,2536,58.962,House for sale,119 Boyd Pl Rainbow City AL 35906,https://www.zillow.com/homedetails/119-Boyd-Pl-Rainbow-City-AL-35906/75978906_zpid/
73,73,179900,5936700,3,2,1460,33.945,House for sale,1116 Forest Dale Dr Mobile AL 36618,https://www.zillow.com/homedetails/1116-Forest-Dale-Dr-Mobile-AL-36618/50985537_zpid/
74,74,249900,8246700,3,2,1787,41.54775,House for sale,8150 Pinebough Ave Mobile AL 36695,https://www.zillow.com/homedetails/8150-Pinebough-Ave-Mobile-AL-36695/50979096_zpid/
75,75,189000,6237000,3,2,1625,37.78125,House for sale,5980 Lazy Ln Mobile AL 36619,https://www.zillow.com/homedetails/5980-Lazy-Ln-Mobile-AL-36619/51045884_zpid/
76,76,258000,8514000,2,2,1323,30.75975,House for sale,18708 Borck Rd Gulf Shores AL 36542,https://www.zillow.com/homedetails/18708-Borck-Rd-Gulf-Shores-AL-36542/72764357_zpid/
